,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,SaleYearWanted
1,97547,0.23,1368,2,ST. JOHN'S,0,80300,1970,100,1256.0,1960,2022,0,-82.2438816,29.67586308,17744-005-000,0.0,112.0,0.0,51,61,0,0,1.0,484,314530.01,1,2021
3,93409,0.28,973,3,ST. JOHN'S,110300,108500,1985,100,832.0,1970,2022,0,-82.27149602,29.63213248,16187-063-000,0.0,201.0,0.0,36,51,0,0,1.0,144,315412.02,1,2021
4,92913,0.24,1404,2,ST. JOHN'S,108801,113500,1970,100,1404.0,1966,2022,0,-82.28188134,29.63444674,16134-024-006,0.0,0.0,0.0,51,55,0,0,2.0,1292,315411.03,1,2021
7,84423,0.19,1224,3,GAINESVILLE,137005,136300,2003,100,944.0,1920,2022,0,-82.29868767,29.65161602,11264-000-000,0.0,370.0,0.0,18,101,0,0,1.0,76,315403.03,1,2021
8,82519,0.23,1120,3,GAINESVILLE,140500,166700,1992,100,1120.0,1958,2022,0,-82.30076346,29.66955631,10760-015-000,0.0,40.0,0.0,29,63,0,0,1.0,5593,324434.01,1,2021
11,77414,0.16,1228,3,GAINESVILLE,166400,244700,2005,100,1228.0,1999,2022,0,-82.34812797,29.68389858,08876-007-001,0.0,165.0,308.0,16,22,0,0,2.0,1468,324430.01,1,2021
14,75728,0.18,1274,3,GAINESVILLE,95800,96500,1970,100,1274.0,1960,2022,0,-82.31278593,29.67778212,08202-145-000,0.0,0.0,0.0,51,61,0,0,1.0,1836,324428.02,1,2021
15,73296,0.05,1166,3,GAINESVILLE,236402,257700,2014,100,1166.0,2014,2022,0,-82.35480709,29.70250663,07891-030-228,0.0,24.0,276.0,7,7,0,0,2.0,12916,324419.03,1,2021
18,61947,0.16,1926,4,ST. JOHN'S,228605,379800,2006,100,1926.0,2006,2022,0,-82.43509323,29.63015638,06860-366-025,0.0,331.0,380.0,15,15,0,0,2.0,1568,125317.06,1,2021
22,53161,0.93,2470,4,ST. JOHN'S,224300,570600,2013,100,2470.0,2013,2022,0,-82.45219721,29.64010529,06665-010-022,0.0,547.0,568.0,8,8,0,0,3.0,2171,125307.06,1,2021
25,41709,0.27,1810,3,ST. JOHN'S,108700,256500,1986,100,1810.0,1986,2022,0,-82.39488315,29.68551531,06124-002-013,0.0,234.0,0.0,35,35,0,0,2.0,1145,114327.01,1,2021
26,39785,0.24,1591,3,GAINESVILLE,93100,297100,1990,100,1591.0,1980,2022,0,-82.36459598,29.68786667,06092-014-027,0.0,45.0,552.0,31,41,0,0,2.0,3375,134325.36,1,2021
29,32343,0.25,1156,3,GAINESVILLE,142200,209700,1990,100,1156.0,1974,2022,0,-82.36573129,29.70642201,06014-020-082,0.0,40.0,228.0,31,47,0,0,2.0,966,174313.01,1,2021
30,25024,0.25,1224,3,ARCHER,246900,71000,1982,100,1074.0,1982,2022,0,-82.5109647,29.53174243,04907-004-005,0.0,150.0,0.0,39,39,0,0,1.5,167,216216.01,1,2021
32,19814,0.05,1184,3,SUWANNEE,245304,280300,2015,100,1183.5,2015,2022,0,-82.47747373,29.66411142,04314-102-119,0.0,177.5,273.0,6,6,0,0,2.0,66,154235.01,1,2021
33,16039,0.51,1204,3,ALACHUA,154800,225200,1999,100,1204.0,1994,2022,0,-82.51710018,29.76521214,03980-010-023,0.0,0.0,440.0,22,27,0,0,2.0,958,233228.02,1,2021
35,13388,0.17,867,3,ALACHUA,2300,107500,1991,100,867.0,1991,2022,0,-82.47477579,29.79155345,03195-002-043,0.0,112.0,281.0,30,30,0,0,1.0,224,233213.02,1,2021
37,3547,1.15,2112,3,HIGH SPRINGS,94500,271100,1996,100,1618.0,1976,2022,0,-82.60464586,29.83627396,00983-000-000,494.0,36.0,0.0,25,45,0,0,1.5,10363,223100.09,1,2021
40,17046,21.0,1882,3,SUWANNEE,0,757800,2000,100,1882.0,1983,2023,0,-82.53912259,29.72416643,04092-003-000,0.0,746.0,598.0,22,39,0,0,2.0,4932,154208.45,1,2022
41,12667,0.25,2640,4,ALACHUA,238900,488400,2004,100,2640.0,2004,2023,0,-82.5210624,29.80653447,03053-010-001,0.0,781.0,483.0,18,18,0,0,2.0,7541,233208.02,1,2022
42,13388,0.17,867,3,ALACHUA,2300,142900,1991,100,867.0,1991,2023,0,-82.47477579,29.79155345,03195-002-043,0.0,112.0,281.0,31,31,0,0,1.0,224,233213.02,1,2022
45,25024,0.25,1224,3,ARCHER,246900,195200,1995,100,1074.0,1982,2023,0,-82.5109647,29.53174243,04907-004-005,0.0,150.0,0.0,27,40,0,0,1.5,167,216216.01,1,2022
46,25524,0.23,1044,2,SUWANNEE,0,56500,1962,100,1044.0,1962,2023,0,-82.52357926,29.52138827,05105-003-000,0.0,0.0,0.0,60,60,0,0,1.0,0,216200.0,1,2022
47,3237,0.34,1171,3,HIGH SPRINGS,64600,179200,1978,100,1171.0,1963,2023,0,-82.59873641,29.8319827,00703-006-000,0.0,147.0,0.0,44,59,0,0,1.0,915,223100.07,1,2022
48,3547,1.15,2112,3,HIGH SPRINGS,94500,260300,1996,100,1618.0,1976,2023,0,-82.60464586,29.83627396,00983-000-000,494.0,36.0,0.0,26,46,0,0,1.5,10363,223100.09,1,2022
49,34702,1.02,1758,4,SUWANNEE,121200,426400,2007,100,1758.0,1981,2023,0,-82.43233392,29.70700686,06035-003-020,0.0,222.0,390.0,15,41,0,0,2.0,8189,114317.01,2,2022
51,49330,0.24,1580,3,GAINESVILLE,221800,166300,1975,100,1580.0,1957,2023,0,-82.37427669,29.65628157,06482-066-000,0.0,0.0,0.0,47,65,0,0,2.0,1143,145302.01,1,2022
53,97547,0.23,1368,2,ST. JOHN'S,0,153400,1970,100,1256.0,1960,2023,0,-82.2438816,29.67586308,17744-005-000,0.0,112.0,0.0,52,62,0,0,1.0,484,314530.01,1,2022
58,92913,0.24,1404,2,ST. JOHN'S,108801,165700,1990,100,1404.0,1966,2023,0,-82.28188134,29.63444674,16134-024-006,0.0,0.0,0.0,32,56,0,0,2.0,1292,315411.03,1,2022
59,93409,0.28,973,3,ST. JOHN'S,110300,146000,1985,100,832.0,1970,2023,0,-82.27149602,29.63213248,16187-063-000,0.0,201.0,0.0,37,52,0,0,1.0,144,315412.02,1,2022
61,32343,0.25,1156,3,GAINESVILLE,142200,231200,1995,100,1156.0,1974,2023,0,-82.36573129,29.70642201,06014-020-082,0.0,40.0,228.0,27,48,0,0,2.0,966,174313.01,1,2022
64,75728,0.18,1274,3,GAINESVILLE,95800,206700,2000,100,1274.0,1960,2023,0,-82.31278593,29.67778212,08202-145-000,0.0,0.0,0.0,22,62,0,0,1.0,1836,324428.02,1,2022
65,44990,0.33,1883,4,ST. JOHN'S,37500,370700,1996,100,1883.0,1996,2023,0,-82.43721464,29.6723294,06322-010-011,0.0,242.5,484.0,26,26,0,0,2.5,7899,114332.02,1,2022
67,73295,0.05,1238,3,GAINESVILLE,236402,251800,2014,100,1238.0,2014,2023,0,-82.35491732,29.70250712,07891-030-227,0.0,81.0,264.0,8,8,0,0,2.0,822,324419.03,1,2022
68,73296,0.05,1166,3,GAINESVILLE,236402,269900,2014,100,1166.0,2014,2023,0,-82.35480709,29.70250663,07891-030-228,0.0,24.0,276.0,8,8,0,0,2.0,11870,324419.03,1,2022
69,89742,0.47,1863,3,GAINESVILLE,61500,439800,1985,100,1863.0,1954,2023,0,-82.34591195,29.65872745,15256-000-000,0.0,54.0,0.0,37,68,0,0,2.0,3268,145406.03,1,2022
70,41709,0.27,1810,3,ST. JOHN'S,108700,307500,1986,100,1810.0,1986,2023,0,-82.39488315,29.68551531,06124-002-013,0.0,234.0,0.0,36,36,0,0,2.0,1145,114327.01,1,2022
73,88228,0.14,1412,3,GAINESVILLE,25100,134100,1974,100,1412.0,1927,2023,0,-82.33788463,29.65676917,14072-000-000,0.0,384.0,0.0,48,95,0,0,1.0,607,145405.07,1,2022
76,82519,0.23,1120,3,GAINESVILLE,140500,181300,2004,100,1120.0,1958,2023,0,-82.30076346,29.66955631,10760-015-000,0.0,40.0,0.0,18,64,0,0,1.0,5303,324434.01,1,2022
83,25524,0.23,1044,2,SUWANNEE,0,85800,1999,100,1044.0,1962,2024,0,-82.52357926,29.52138827,05105-003-000,0.0,0.0,0.0,24,61,0,0,1.0,0,216200.0,1,2023
86,3237,0.34,1171,3,HIGH SPRINGS,64600,245000,2005,100,1171.0,1963,2024,0,-82.59873641,29.8319827,00703-006-000,0.0,147.0,0.0,18,60,0,0,1.0,2124,223100.07,1,2023
88,53161,0.93,2470,4,ST. JOHN'S,224300,650000,2015,100,2470.0,2013,2024,0,-82.45219721,29.64010529,06665-010-022,0.0,547.0,568.0,8,10,0,0,3.0,1965,125307.06,1,2023
92,49330,0.24,1580,3,GAINESVILLE,221800,262700,1994,100,1580.0,1957,2024,0,-82.37427669,29.65628157,06482-066-000,0.0,0.0,0.0,29,66,0,0,2.0,1219,145302.01,1,2023
94,16039,0.51,1204,3,ALACHUA,154800,265000,1999,100,1204.0,1994,2024,0,-82.51710018,29.76521214,03980-010-023,0.0,0.0,440.0,24,29,0,0,2.0,958,233228.02,1,2023
95,16896,7.1,1527,3,SUWANNEE,29900,245000,1994,100,1152.0,1981,2024,0,-82.55015461,29.71381557,04079-018-000,0.0,375.0,0.0,29,42,0,0,2.0,2500,154207.41,1,2023
97,61947,0.16,1926,4,ST. JOHN'S,228605,380000,2006,100,1926.0,2006,2024,0,-82.43509323,29.63015638,06860-366-025,0.0,331.0,380.0,17,17,0,0,2.0,3651,125317.06,1,2023
99,12667,0.25,2640,4,ALACHUA,238900,465000,2004,100,2640.0,2004,2024,0,-82.5210624,29.80653447,03053-010-001,0.0,781.0,483.0,19,19,0,0,2.0,17172,233208.02,1,2023
111,89742,0.47,1863,3,GAINESVILLE,61500,475000,2008,100,1863.0,1954,2024,0,-82.34591195,29.65872745,15256-000-000,0.0,54.0,0.0,15,69,0,0,2.0,7458,145406.03,1,2023
119,88228,0.14,1412,3,GAINESVILLE,25100,110000,1995,100,1412.0,1927,2025,0,-82.33788463,29.65676917,14072-000-000,0.0,0.0,0.0,29,97,0,0,1.0,749,145405.07,1,2024
124,84423,0.19,1224,3,GAINESVILLE,137005,148000,2003,100,944.0,1920,2025,0,-82.29868767,29.65161602,11264-000-000,0.0,370.0,0.0,21,104,0,0,1.0,250,315403.03,1,2024
133,77414,0.16,1228,3,GAINESVILLE,166400,150500,2005,100,1228.0,1999,2025,0,-82.34812797,29.68389858,08876-007-001,0.0,165.0,308.0,19,25,0,0,2.0,3426,324430.01,1,2024
141,73295,0.05,1238,3,GAINESVILLE,236402,270000,2014,100,1238.0,2014,2025,0,-82.35491732,29.70250712,07891-030-227,0.0,81.0,264.0,10,10,0,0,2.0,738,324419.03,1,2024
156,44990,0.33,1883,4,ST. JOHN'S,37500,441800,1996,100,1883.0,1996,2025,0,-82.43721464,29.6723294,06322-010-011,0.0,242.5,484.0,28,28,0,0,2.5,22893,114332.02,1,2024
161,39785,0.24,1591,3,GAINESVILLE,93100,298000,2005,100,1591.0,1980,2025,0,-82.36459598,29.68786667,06092-014-027,0.0,45.0,552.0,19,44,0,0,2.0,8327,134325.36,1,2024
165,34702,1.02,1758,4,SUWANNEE,121200,425000,2007,100,1758.0,1981,2025,0,-82.43233392,29.70700686,06035-003-020,0.0,222.0,390.0,17,43,0,0,2.0,12868,114317.01,1,2024
175,19814,0.05,1184,3,SUWANNEE,245304,247000,2015,100,1183.5,2015,2025,0,-82.47747373,29.66411142,04314-102-119,0.0,177.5,273.0,9,9,0,0,2.0,51,154235.01,1,2024
177,17046,21.0,1882,3,SUWANNEE,0,756000,2000,100,1882.0,1983,2025,0,-82.53912259,29.72416643,04092-003-000,0.0,746.0,598.0,24,41,0,0,2.0,34412,154208.45,1,2024
178,16896,7.1,1527,3,SUWANNEE,29900,300000,1995,100,1152.0,1981,2025,0,-82.55015461,29.71381557,04079-018-000,0.0,375.0,0.0,29,43,0,0,2.0,2500,154207.41,1,2024
