tax_area_description,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
ALACHUA,487,38753.3973796552,28495027756.757744,0.38740731371578074,0.9909255087215291,13.04343756144032,"{'PRB': 0.02070329855226083, 'Sig': 0.4713281667899265}",1.029762493297502,0.13210628202767816
ARCHER,39,24262.680000653396,894176438.9866583,0.7781463461919256,0.9993659908270695,15.473220869253835,"{'PRB': 0.008081813496331691, 'Sig': 0.9150006730678515}",1.009019249629017,0.16317194874958174
GAINESVILLE,3321,32316.05056448137,2203778712.5356617,0.8034365834163387,1.0138612011022425,13.78245430575688,"{'PRB': -0.05559723807778942, 'Sig': 1.503877160289571e-20}",1.0047925120541015,0.1388558487252709
HAWTHORNE,56,25891.58391707695,1082984565.157226,0.6239405204266231,0.9932489861867961,16.70614446578211,"{'PRB': 0.0776346797177255, 'Sig': 0.257260350958454}",1.0727254100244996,0.18163981340211516
HIGH SPRINGS,341,26736.580921685825,1247939385.3528051,0.8622412565601871,1.0054336770285017,11.346145149126645,"{'PRB': -0.02054479223130249, 'Sig': 0.22536331764649664}",1.0115517666338962,0.11542493508776086
LACROSSE,4,61665.86291743856,4422868757.330234,-1.0252329256343327,0.9921286162178103,12.02993090015614,"{'PRB': 0.1344875086623385, 'Sig': 0.6382945690384634}",0.7475908197567815,0.08780151817042478
MICANOPY,23,53305.93398150295,4622043956.032313,0.7542838672005033,1.0012062840623008,19.685355245505566,"{'PRB': -0.02989269765413541, 'Sig': 0.7580093645893211}",1.148272992457691,0.22607185560985354
NEWBERRY,295,31994.52205813513,7909245734.804891,0.4292752037637625,1.0142850343887297,11.836734835161174,"{'PRB': -0.0761116741604046, 'Sig': 0.07379444226432114}",1.0108106330461786,0.11919221333704458
ST. JOHN'S,2670,36093.37707851135,2685111301.1072497,0.9085623439999411,0.9959758625352948,12.221217060330266,"{'PRB': 0.022223222776469025, 'Sig': 4.698233323486267e-06}",1.0261539927096026,0.1255985364592079
SUWANNEE,1121,51270.423899287336,6494815904.674144,0.8642626742923121,1.0148618148118866,14.5722327470318,"{'PRB': -0.05722269855037217, 'Sig': 6.582968374039777e-07}",1.0051277831449354,0.144579233170005
WALDO,20,27310.879852146678,971933417.3418347,0.6574605481390603,0.999896467025418,25.587359516760593,"{'PRB': 0.061809344281515535, 'Sig': 0.675813989596511}",1.029881110586189,0.25061583348229016
